Kategorie;Produkt;Variante;Status;Apple aktuell €;17 % €;27 % €;Rabattregel;Früher 29.08.2026 €;Änderung Apple €;Hinweis
watch;Apple Watch SE 3;40 mm · GPS + Cellular · Sportarmband;Jetzt kaufen;319.00;265.61;233.48;Apple/Beats 17 % / versteckt 27 %;319.00;0.00;
watch;Apple Watch SE 3;44 mm · GPS + Cellular · Sportarmband;Jetzt kaufen;349.00;289.41;254.90;Apple/Beats 17 % / versteckt 27 %;349.00;0.00;
watch;Apple Watch Ultra 3;49 mm · Titan · Alpine/Trail/Ocean;Vorgänger;899.00;746.37;657.12;Apple/Beats 17 % / versteckt 27 %;899.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Ultra 3;49 mm · Titan · Titan Milanaise;Vorgänger;999.00;829.67;729.71;Apple/Beats 17 % / versteckt 27 %;999.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Hermès;42 mm · Titan Silber · Hermès Armband;Vorgänger;1399.00;1160.49;1021.26;Apple/Beats 17 % / versteckt 27 %;1399.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Hermès;46 mm · Titan Silber · Hermès Armband;Vorgänger;1449.00;1203.33;1058.15;Apple/Beats 17 % / versteckt 27 %;1449.00;0.00;Vorgängerpreis als Historie beibehalten.
watch;Apple Watch Hermès Ultra 3;49 mm · Titan · Hermès;Vorgänger;1579.00;1310.43;1153.35;Apple/Beats 17 % / versteckt 27 %;1579.00;0.00;Vorgängerpreis als Historie beibehalten.
vision;Apple Vision Pro;256 GB;Jetzt kaufen;3699.00;3070.20;2700.11;Apple/Beats 17 % / versteckt 27 %;3999.00;-300.00;
vision;Apple Vision Pro;512 GB;Jetzt kaufen;3919.00;3252.27;2860.76;Apple/Beats 17 % / versteckt 27 %;4219.00;-300.00;"Aktueller 256-GB-Basispreis offiziell 3.699 €; Speicherstufen mit unverändertem +220-€-Abstand fortgeführt."
vision;Apple Vision Pro;1 TB;Jetzt kaufen;4139.00;3435.53;3021.41;Apple/Beats 17 % / versteckt 27 %;4439.00;-300.00;"Aktueller 256-GB-Basispreis offiziell 3.699 €; Speicherstufen mit unverändertem +220-€-Abstand fortgeführt."
airpods;AirPods Pro 3;Standard;Jetzt kaufen;249.00;207.06;182.07;Apple/Beats 17 % / versteckt 27 %;249.00;0.00;
airpods;AirPods 4;AirPods 4;Vorgänger / weiterhin gelistet;149.00;123.76;108.29;Apple/Beats 17 % / versteckt 27 %;149.00;0.00;
airpods;AirPods 4;AirPods 4 mit Aktiver Geräuschunterdrückung;Vorgänger / weiterhin gelistet;199.00;165.41;145.18;Apple/Beats 17 % / versteckt 27 %;199.00;0.00;
airpods;AirPods Max 2;Standard;Jetzt kaufen;579.00;480.76;422.45;Apple/Beats 17 % / versteckt 27 %;579.00;0.00;
tvhome;HomePod;Standard;Jetzt kaufen;399.00;330.82;291.55;Apple/Beats 17 % / versteckt 27 %;399.00;0.00;
tvhome;HomePod mini;Standard;Jetzt kaufen;139.00;115.43;101.15;Apple/Beats 17 % / versteckt 27 %;139.00;0.00;
tvhome;Apple TV 4K;64 GB · Wi-Fi;Jetzt kaufen;229.00;190.40;166.60;Apple/Beats 17 % / versteckt 27 %;229.00;0.00;
tvhome;Apple TV 4K;128 GB · Wi-Fi + Ethernet;Jetzt kaufen;299.00;248.71;217.77;Apple/Beats 17 % / versteckt 27 %;299.00;0.00;
accessories;60W USB-C Ladekabel (1 m);Standard;;19.00;15.47;14.28;Apple/Beats 17 % / versteckt 27 %;25.00;-6.00;
accessories;240W USB-C Ladekabel (2 m);Standard;;35.00;28.56;24.99;Apple/Beats 17 % / versteckt 27 %;35.00;0.00;
accessories;MagSafe Ladegerät (1 m);Standard;;49.00;40.46;35.70;Apple/Beats 17 % / versteckt 27 %;49.00;0.00;
accessories;MagSafe Ladegerät (2 m);Standard;;59.00;48.79;42.84;Apple/Beats 17 % / versteckt 27 %;59.00;0.00;
